Name,Position,OverallRating
Scottie Pippen,SF,71
Sean Rooks,SF,67
Shandon Anderson,SF,70
Shaquille O'Neal,SF,72
Shawn Kemp,SF,72
Shawnelle Scott,SF,69
Sherman Douglas,SF,72
Stacey Augmon,SF,68
Stanley Roberts,SF,67
Stephon Marbury,SF,70
Steve Kerr,SF,69
Steve Nash,SF,70
Steven Smith,SF,70
Terry Cummings,SF,69
Terry Mills,SF,68
Terry Porter,SF,70
Tim Duncan,SF,70
Tim Hardaway,SF,72
Tom Hammonds,SF,69
Toni Kukoc,SF,70
Travis Best,SF,70
Travis Williams,SF,68
Tyrone Corbin,SF,67
Vin Baker,SF,70
Vinny Del Negro,SF,70
Vitaly Potapenko,SF,69
Vlade Divac,SF,70
Voshon Lenard,SF,69
Walt Williams,SF,71
Wesley Person,SF,69
Will Perdue,SF,69
Zydrunas Ilgauskas,SF,70
Aaron McKie,SF,69
Adam Keefe,SF,70
Alan Henderson,SF,64
Allan Houston,SF,70
Allen Iverson,SF,71
Alonzo Mourning,SF,70
Andrae Patterson,SF,69
Anfernee Hardaway,SF,71
Anthony Johnson,SF,69
Anthony Peeler,SF,68
Antoine Carr,SF,69
Antonio Daniels,SF,71
Antonio Davis,SF,69
Armen Gilliam,SF,69
Arvydas Sabonis,SF,70
Austin Croshere,SF,73
Avery Johnson,SF,71
B.J. Armstrong,SF,73
Bison Dele,SF,70
Bo Outlaw,SF,69
Bobby Jackson,SF,68
Brent Price,SF,71
Brian Grant,SF,70
Bryce Drew,SF,75
Bryon Russell,SF,69
Charles Barkley,SF,72
Charles O'Bannon,SF,72
Charlie Ward,SF,70
Chris Childs,SF,70
Chris Crawford,SF,69
Chris Dudley,SF,68
Chris Gatling,SF,66
Chris Morris,SF,70
Chris Mullin,SF,69
Chris Webber,SF,70
Christian Laettner,SF,70
Clar. Weatherspoon,SF,68
Clifford Robinson,SF,70
Corliss Williamson,SF,69
Cuttino Mobley,SF,70
Dale Davis,SF,70
Damon Stoudamire,SF,71
Dan Majerle,SF,68
Dan Schayes,SF,64
Danny Manning,SF,70
Darrell Armstrong,SF,71
David Robinson,SF,71
Dean Garrett,SF,69
Dell Curry,SF,67
Derek Fisher,SF,70
Derek Harper,SF,70
Derek Strong,SF,68
Derrick McKey,SF,69
Dikembe Mutombo,SF,70
Dominique Wilkins,SF,68
Don Reid,SF,69
Duane Causwell,SF,69
Ed Gray,SF,70
Eric Montross,SF,68
Eric Snow,SF,71
Ervin Johnson,SF,68
Fred Hoiberg,SF,69
George Lynch,SF,69
George McCloud,SF,70
Gerald Brown,SF,76
Gerard King,SF,70
Glen Rice,SF,69
Glenn Robinson,SF,70
Grant Hill,SF,73
Grant Long,SF,69
Greg Anthony,SF,70
Greg Foster,SF,68
Greg Ostertag,SF,68
Hakeem Olajuwon,SF,69
Harvey Grant,SF,70
Haywoode Workman,SF,70
Herb Williams,SF,66
Horace Grant,SF,68
Howard Eisley,SF,70
Ike Austin,SF,69
Isaiah Rider,SF,70
J.R. Reid,SF,68
Jacque Vaughn,SF,70
Jalen Rose,SF,70
Jamal Mashburn,SF,69
James Robinson,SF,68
Jaren Jackson,SF,69
Jason Kidd,SF,71
Jason Williams,SF,70
Jeff Hornacek,SF,70
Jeff Sheppard,SF,67
Jerald Honeycutt,SF,66
Jermaine O'Neal,SF,69
Jerome James,SF,72
Jerome Kersey,SF,68
Jerome Williams,SF,69
Jerry Stackhouse,SF,69
Jim Jackson,SF,70
Joe Dumars,SF,70
Joe Kleine,SF,69
Joe Smith,SF,68
John Stockton,SF,72
Jon Barry,SF,70
Jud Buechler,SF,67
Karl Malone,SF,71
Keith Askins,SF,65
Kelvin Cato,SF,67
Kevin Garnett,SF,71
Kobe Bryant,SF,71
Kurt Thomas,SF,68
Larry Hughes,SF,70
Larry Johnson,SF,69
Latrell Sprewell,SF,70
Lawrence Funderburke,SF,69
Lindsey Hunter,SF,68
Loy Vaught,SF,68
Luc Longley,SF,67
Malik Rose,SF,68
Malik Sealy,SF,68
Marcus Camby,SF,70
Mario Elie,SF,69
Mark Jackson,SF,72
Mark Strickland,SF,71
Mark West,SF,67
Matt Bullard,SF,73
Matt Geiger,SF,69
Matt Harpring,SF,70
Michael Curry,SF,70
Michael Dickerson,SF,67
Michael Doleac,SF,68
Michael Hawkins,SF,67
Mookie Blaylock,SF,70
Nazr Mohammed,SF,64
Nick Anderson,SF,70
Othella Harrington,SF,70
P.J. Brown,SF,69
Pat Garrity,SF,70
Patrick Ewing,SF,69
Peja Stojakovic,SF,68
Randy Livingston,SF,71
Rasheed Wallace,SF,70
Rasho Nesterovic,SF,70
Ray Allen,SF,71
Reggie Miller,SF,70
Rex Chapman,SF,69
Rex Walters,SF,68
Rick Brunson,SF,70
Rick Fox,SF,69
Rick Mahorn,SF,68
Rik Smits,SF,70
Robert Horry,SF,69
Robert Traylor,SF,71
Roshown McLeod,SF,69
Ruben Patterson,SF,65
Sam Cassell,SF,72
Sam Mack,SF,69
